,School_Name,School_District,School_Address,School_Phone_Number,Principal_FName,Principal_LName,Grades,School_Type,Super_Phone_Number,Super_FName,Super_LName
21,Scottsville Elementary,Albemarle County Public Schools,"7868 Scottsville Road Scottsville, VA 24590-9792",434-286-2441,Art,Stow,PK-5,Elementary,434-296-5826,Matthew,Haas
22,Stone Robinson Elementary,Albemarle County Public Schools,"958 North Milton Road Charlottesville, VA 22911-3612",434-296-3754,Angela,Stokes,PK-5,Elementary,434-296-5826,Matthew,Haas
23,Stony Point Elementary,Albemarle County Public Schools,"3893 Stony Point Road Keswick, VA 22947-1503",434-973-6405,Maureen,Jensen,KG-5,Elementary,434-296-5826,Matthew,Haas
24,Virginia L. Murray Elementary,Albemarle County Public Schools,"3251 Morgantown Road Charlottesville, VA 22903-7053",434-977-4599,C'ta,Delaurier,PK-5,Elementary,434-296-5826,Matthew,Haas
25,Woodbrook Elementary,Albemarle County Public Schools,"100 Woodbrook Drive Charlottesville, VA 22901-1147",434-973-6600,Kristen,Williams,PK-5,Elementary,434-296-5826,Matthew,Haas
26,Jackson P. Burley Middle,Albemarle County Public Schools,"901 Rose Hill Drive Charlottesville, VA 22903-5255",434-295-5101,Kasaundra,Blount,6-8,Middle,434-296-5826,Matthew,Haas
27,Joseph T. Henley Middle,Albemarle County Public Schools,"5880 Rockfish Gap Turnpike Crozet, VA 22932-3401",434-823-4393,LaRuth,Ensley,6-8,Middle,434-296-5826,Matthew,Haas
28,Journey Middle,Albemarle County Public Schools,"210 Lambs Lane Charlottesville, VA 22901-8979",434-975-9320,Ashby,Johnson,6-8,Middle,434-296-5826,Matthew,Haas
29,Lakeside Middle,Albemarle County Public Schools,"2801 Powell Creek Drive Charlottesville, VA 22911-7402",434-975-0599,Michael,Craddock,6-8,Middle,434-296-5826,Matthew,Haas
30,Leslie H. Walton Middle,Albemarle County Public Schools,"4217 Red Hill Rd Charlottesville, VA 22903",434-977-5615,Josh,Walton,6-8,Middle,434-296-5826,Matthew,Haas
31,Albemarle High,Albemarle County Public Schools,"2775 Hydraulic Road Charlottesville, VA 22901-8917",434-975-9300,Darah,Bonham,9-12,High,434-296-5826,Matthew,Haas
32,Monticello High,Albemarle County Public Schools,"1400 Independence Way Charlottesville, VA 22902-8745",434-244-3100,Beth,Costa,9-12,High,434-296-5826,Matthew,Haas
33,Western Albemarle High,Albemarle County Public Schools,"5941 Rockfish Gap Turnpike Crozet, VA 22932-3401",434-823-8700,Jennifer,Sublette,9-12,High,434-296-5826,Matthew,Haas
34,Community Lab School,Albemarle County Public Schools,"1200 Forest Street Charlottesville, VA 22903-5262",434-296-3090,Chad,Ratliff,6-12,Combined,434-296-5826,Matthew,Haas
35,Charles Barrett Elementary,Alexandria Public Schools,"1115 Martha Custis Dr Alexandria, VA 22302",703-824-6960,Loren,Brody,PK-5,Elementary,703-619-8000,Position,Vacant
36,Cora Kelly School for Math Science and Technology,Alexandria Public Schools,"3600 Commonwealth Ave Alexandria, VA 22305",703-706-4420,Jasibi,Crews,PK-5,Elementary,703-619-8000,Position,Vacant
37,Douglas MacArthur Elementary,Alexandria Public Schools,"1101 Janneys Ln Alexandria, VA 22302",703-461-4190,Penny,Hairston,KG-5,Elementary,703-619-8000,Position,Vacant
38,Ferdinand T. Day Elementary,Alexandria Public Schools,"1701 N Beauregard Street Alexandria, VA 22311",703-619-8125,Rachael,Dischner,KG-5,Elementary,703-619-8000,Position,Vacant
39,George Mason Elementary,Alexandria Public Schools,"2601 Cameron Mills Rd Alexandria, VA 22302",703-706-4470,Seazante,Oliver,KG-5,Elementary,703-619-8000,Position,Vacant
40,James K. Polk Elementary,Alexandria Public Schools,"5000 Polk Ave Alexandria, VA 22304",703-461-4180,Carla,Carter,PK-5,Elementary,703-619-8000,Position,Vacant
41,John Adams Elementary,Alexandria Public Schools,"5651 Rayburn Ave Alexandria, VA 22311",703-824-6970,Alicia,Kingcade,PK-5,Elementary,703-619-8000,Position,Vacant
42,Lyles-Crouch Elementary,Alexandria Public Schools,"530 S St Asaph St Alexandria, VA 22314",703-706-4430,Patricia,Zissios,KG-5,Elementary,703-619-8000,Position,Vacant
43,Mount Vernon Elementary,Alexandria Public Schools,"2601 Commonwealth Ave Alexandria, VA 22305",703-706-4460,Liza,Burrell-Aldana,PK-5,Elementary,703-619-8000,Position,Vacant
44,Naomi L. Brooks Elementary,Alexandria Public Schools,"600 Russell Rd Alexandria, VA 22301",703-706-4440,Suzanne,Hess,KG-5,Elementary,703-619-8000,Position,Vacant
45,Samuel W. Tucker Elementary,Alexandria Public Schools,"435 Ferdinand Day Dr Alexandria, VA 22304",703-933-6300,Adaarema,Kelly,KG-5,Elementary,703-619-8000,Position,Vacant
46,William Ramsay Elementary,Alexandria Public Schools,"5700 Sanger Ave Alexandria, VA 22311",703-824-6950,Michael,Routhouska,PK-5,Elementary,703-619-8000,Position,Vacant
47,Francis C. Hammond Middle,Alexandria Public Schools,"4646 Seminary Road Alexandria, VA 22304",703-461-4100,Michael,Routhouska,6-8,Middle,703-619-8000,Position,Vacant
48,George Washington Middle,Alexandria Public Schools,"1005 Mount Vernon Avenue Alexandria, VA 22301",703-706-4500,Jesse,Mazur,6-8,Middle,703-619-8000,Position,Vacant
49,Alexandria City High School,Alexandria Public Schools,"3330 King St Alexandria, VA 22302",703-824-6800,Peter,Balas,9-12,High,703-619-8000,Position,Vacant
50,Jefferson-Houston PK-8 School,Alexandria Public Schools,"1501 Cameron St Alexandria, VA 22314",703-706-4400,John,McCain,PK-8,Combined,703-619-8000,Position,Vacant
51,Patrick Henry K-8 School,Alexandria Public Schools,"4643 Taney Ave Alexandria, VA 22304",703-461-4170,Ingrid,Bynum,KG-8,Combined,703-619-8000,Position,Vacant
52,Early Childhood Center,Alexandria Public Schools,"5651 Rayburn Avenue Alexandria, VA 22311",703-824-6970,Heidi Haggerty,Wagner,PK,Elementary,703-619-8000,Position,Vacant
53,Callaghan Elementary,Alleghany Highlands Public Schools,"4050 Midland Trail Covington, VA 24426",540-965-1810,Joshua,Craft,KG-5,Elementary,540-863-1800,Kimberly,Halterman
54,Jeter-Watson Elementary,Alleghany Highlands Public Schools,"560 West Indian Valley Road Covington, VA 24426",540-965-1430,Cynthia,Morgan,PK-7,Elementary,540-863-1800,Kimberly,Halterman
55,Mountain View Elementary,Alleghany Highlands Public Schools,"100 Gleason Dr. Covington, VA 24426",540-863-1737,Cynthia,Morgan,KG-5,Elementary,540-863-1800,Kimberly,Halterman
56,Sharon Elementary,Alleghany Highlands Public Schools,"100 Sharon Circle Clifton Forge, VA 24422",540-863-1712,Thomas,Dobbs,KG-5,Elementary,540-863-1800,Kimberly,Halterman
57,Clifton Middle,Alleghany Highlands Public Schools,"100 Sharon Circle Clifton Forge, VA 24422",540-863-1726,George Marty,Wood,6-8,Middle,540-863-1800,Kimberly,Halterman
58,Alleghany High,Alleghany Highlands Public Schools,"210 Mountaineer Drive Covington, VA 24426",540-863-1700,Karen,Staunton,9-12,High,540-863-1800,Kimberly,Halterman
59,Covington High,Alleghany Highlands Public Schools,"606 S. Lexington Avenue Covington, VA 24426",540-965-1410,Derek,Cantrell,8-12,High,540-863-1800,Kimberly,Halterman
60,Amelia County Elementary,Amelia County Public Schools,"8533 N Five Forks Rd Amelia Court House, VA 23002",804-561-2433,Lisa,Davis,PK-5,Elementary,804-561-2621,Lorena,Harper
61,Amelia County Middle,Amelia County Public Schools,"8740 Otterburn Road Amelia, VA 23002",804-561-4422,Jennifer,Ramey,6-8,Middle,804-561-2621,Lorena,Harper
62,Amelia County High,Amelia County Public Schools,"8500 Otterburn Rd Amelia Court House, VA 23002",804-561-2101,John,Ringstaff,9-12,High,804-561-2621,Lorena,Harper
63,Amelon Elementary,Amherst County Public Schools,"132 Amer Court Madison Heights, VA 24572",434-528-6498,Lea,Gray,PK-5,Elementary,434-946-9387,William,Wells
64,Amherst Elementary,Amherst County Public Schools,"156 Davis St Amherst, VA 24521",434-946-9704,Amanda,Cassise,PK-5,Elementary,434-946-9387,William,Wells
65,Central Elementary,Amherst County Public Schools,"575 Union Hill Rd Amherst, VA 24521",434-946-9700,Derek,Adam,PK-5,Elementary,434-946-9387,William,Wells
66,Elon Elementary,Amherst County Public Schools,"147 Younger Dr Madison Heights, VA 24572",434-528-6496,Kimberly,Scott,PK-5,Elementary,434-946-9387,William,Wells
67,Madison Heights Elementary,Amherst County Public Schools,"287 Learning Lane Madison Heights, VA 24572",434-846-2151,Jeremy,Hutchinson,PK-5,Elementary,434-946-9387,William,Wells
68,Temperance Elementary,Amherst County Public Schools,"1981 Lowesville Rd Amherst, VA 24521",434-946-2811,Lantz,Martin,PK-5,Elementary,434-946-9387,William,Wells
69,Amherst Middle,Amherst County Public Schools,"165 Gordons Fairground Rd Amherst, VA 24521",434-946-0691,Kelly,Holmes,6-8,Middle,434-946-9387,William,Wells
70,Monelison Middle,Amherst County Public Schools,"257 Trojan Rd Madison Heights, VA 24572",434-846-1307,Ryan,White,6-8,Middle,434-946-9387,William,Wells
71,Amherst County High,Amherst County Public Schools,"139 Lancer Lane Amherst, VA 24521",434-946-2898,Timothy,Crawford,9-12,High,434-946-9387,William,Wells
72,Appomattox Elementary,Appomattox County Public Schools,"176 Kids Place Appomattox, VA 24522",434-352-7463,Karen,Cyrus,3-5,Elementary,434-352-8251,Annette,Bennett
73,Appomattox Primary,Appomattox County Public Schools,"185 Learning Lane Appomattox, VA 24522",434-352-5766,Allison,Maxwell,PK-2,Elementary,434-352-8251,Annette,Bennett
74,Appomattox Middle,Appomattox County Public Schools,"2020 Church St Appomattox, VA 24522",434-352-8257,Julie,Amos,6-8,Middle,434-352-8251,Annette,Bennett
75,Appomattox County High,Appomattox County Public Schools,"198 Evergreen Avenue Appomattox, VA 24522",434-352-7146,Luke,Cunningham,9-12,High,434-352-8251,Annette,Bennett
76,Abingdon Elementary,Arlington County Public Schools,"3035 S Abingdon St Arlington, VA 22206",703-228-6650,David,Horak,PK-5,Elementary,703-228-6010,Francisco,Duran
77,Alice West Fleet Elementary,Arlington County Public Schools,"115 S Old Glebe Road Arlington, VA 22204",703-228-5820,David,Horak,PK-5,Elementary,703-228-6010,Francisco,Duran
78,Arlington Science Focus School,Arlington County Public Schools,"1501 Lincoln Street Arlington, VA 22201",703-228-7670,Mary,Begley,PK-5,Elementary,703-228-6010,Francisco,Duran
79,Arlington Traditional,Arlington County Public Schools,"1030 N. MCKINLEY ROAD Arlington, VA 22205",703-228-6290,samuel,podbelski,PK-5,Elementary,703-228-6010,Francisco,Duran
80,Ashlawn Elementary,Arlington County Public Schools,"5950 N. 8th Road Arlington, VA 22205",703-228-5270,frances,lee,PK-5,Elementary,703-228-6010,Francisco,Duran
81,Barcroft Elementary,Arlington County Public Schools,"625 S Wakefield St Arlington, VA 22204",703-228-5838,Judy,Apostolico-Buck,PK-5,Elementary,703-228-6010,Francisco,Duran
82,Barrett Elementary,Arlington County Public Schools,"4401 N Henderson Rd Arlington, VA 22203",703-228-6288,catherine,han,PK-5,Elementary,703-228-6010,Francisco,Duran
83,Campbell Elementary,Arlington County Public Schools,"737 S. Carlin Springs Rd. Arlington, VA 22204",703-228-6770,Maureen,Nesselrode,PK-5,Elementary,703-228-6010,Francisco,Duran
84,Cardinal Elementary,Arlington County Public Schools,"1644 N. McKinley Road Arlington, VA 22205",703-228-5280,Colin,Brown,PK-5,Elementary,703-228-6010,Francisco,Duran
85,Carlin Springs Elementary,Arlington County Public Schools,"5995 South 5th Road Arlington, VA 22204",703-228-6645,Melaney,Mackin,PK-5,Elementary,703-228-6010,Francisco,Duran
86,Claremont Immersion,Arlington County Public Schools,"4700 S. Chesterfield Rd. Arlington, VA 22206",703-228-2500,Jessica,Panfil,PK-5,Elementary,703-228-6010,Francisco,Duran
87,Discovery Elementary,Arlington County Public Schools,"5241 36th Street North Arlington, VA 22207",703-288-2685,Erin,Russo,PK-5,Elementary,703-228-6010,Francisco,Duran
88,Dr. Charles R. Drew Elementary,Arlington County Public Schools,"3500 South 23rd Street Arlington, VA 22206-2501",703-228-5825,tracy,gaither,PK-5,Elementary,703-228-6010,Francisco,Duran
89,Escuela Key Elementary,Arlington County Public Schools,"855 N. Edison Street Arlington, VA 22205",703-228-4210,Marleny,Perdomo,PK-5,Elementary,703-228-6010,Francisco,Duran
90,Glebe Elementary,Arlington County Public Schools,"1770 N. Glebe Road Arlington, VA 22207",703-228-6280,Jamie,Borg,PK-5,Elementary,703-228-6010,Francisco,Duran
91,Hoffman-Boston Elementary,Arlington County Public Schools,"1415 S Queen St Arlington, VA 22204",703-228-5845,Heidi,Smith,PK-5,Elementary,703-228-6010,Francisco,Duran
92,Innovation Elementary,Arlington County Public Schools,"2300 Key Blvd Arlington, VA 22201",703-228-7670,Claire,Peters,PK-5,Elementary,703-228-6010,Francisco,Duran
93,Jamestown Elementary,Arlington County Public Schools,"3700 N Delaware St Arlington, VA 22207",703-228-5275,Michelle,McCarthy,PK-5,Elementary,703-228-6010,Francisco,Duran
94,Long Branch Elementary,Arlington County Public Schools,"33 N Fillmore St Arlington, VA 22201",703-228-4220,Jessica,DaSilva,PK-5,Elementary,703-228-6010,Francisco,Duran
95,Montessori Public School of Arlington,Arlington County Public Schools,"701 S Highland Street Arlington, VA 22204",703-228-8871,Catharina,Genove,PK-5,Elementary,703-228-6010,Francisco,Duran
96,Nottingham Elementary,Arlington County Public Schools,"5900 Little Falls Road Arlington, VA 22207",703-228-5290,Eileen,Gardner,KG-5,Elementary,703-228-6010,Francisco,Duran
97,Oakridge Elementary,Arlington County Public Schools,"1414 24th St S Arlington, VA 22202",703-228-5840,Lynne,Wright,PK-5,Elementary,703-228-6010,Francisco,Duran
98,Randolph Elementary,Arlington County Public Schools,"1306 S Quincy St Arlington, VA 22204",703-228-5830,Carlos,Ramirez,PK-5,Elementary,703-228-6010,Francisco,Duran
99,Taylor Elementary,Arlington County Public Schools,"2600 N Stuart St Arlington, VA 22207",703-228-6275,Katie,Madigan,PK-5,Elementary,703-228-6010,Francisco,Duran
100,Tuckahoe Elementary,Arlington County Public Schools,"6550 26th St N Arlington, VA 22213",703-228-5288,Mitch,Pascal,PK-5,Elementary,703-228-6010,Francisco,Duran
101,Dorothy Hamm Middle,Arlington County Public Schools,"4100 N Vacation Lane Arlington, VA 22207",703-228-2910,Ellen,Smith,6-8,Middle,703-228-6010,Francisco,Duran
102,Gunston Middle,Arlington County Public Schools,"2700 S Lang St Arlington, VA 22206",703-228-6900,Lori,Wiggins,6-8,Middle,703-228-6010,Francisco,Duran
103,Jefferson Middle,Arlington County Public Schools,"125 S Old Glebe Rd Arlington, VA 22204",703-228-5900,Keisha,Boggan,6-8,Middle,703-228-6010,Francisco,Duran
104,Kenmore Middle,Arlington County Public Schools,"200 S Carlin Springs Rd Arlington, VA 22204",703-228-6800,David,McBride,6-8,Middle,703-228-6010,Francisco,Duran
105,Swanson Middle,Arlington County Public Schools,"5800 N Washington Blvd Arlington, VA 22205",703-228-5500,Bridget,Loft,6-8,Middle,703-228-6010,Francisco,Duran
106,Williamsburg Middle,Arlington County Public Schools,"3600 N Harrison St Arlington, VA 22207",703-228-5450,Bryan,Boykin,6-8,Middle,703-228-6010,Francisco,Duran
107,Arlington Community High,Arlington County Public Schools,"800 S. Walter Reed Dr Arlington, VA 22204",703-228-5350,Barbara,Thompson,9-12,High,703-228-6010,Francisco,Duran
108,Wakefield High,Arlington County Public Schools,"1325 S. Dinwiddie Street Arlington, VA 22206",703-228-6700,Chris,Willmore,9-12,High,703-228-6010,Francisco,Duran
109,Washington-Liberty High,Arlington County Public Schools,"1301 N Stafford St Arlington, VA 22201",703-228-6200,Antonio,Hall,9-12,High,703-228-6010,Francisco,Duran
110,Yorktown High,Arlington County Public Schools,"5200 Yorktown Blvd Arlington, VA 22207",703-228-5400,Kevin,Clark,9-12,High,703-228-6010,Francisco,Duran
111,Integration Station,Arlington County Public Schools,"4420 Fairfax Drive Suite 224 Arlington, VA 22203",703-462-5184,Sara,Shaw,PK,Elementary,703-228-6010,Francisco,Duran
112,Cassell Elementary,Augusta County Public Schools,"1301 Rockfish Rd Waynesboro, VA 22980",540-946-7635,Shannon,Brake,PK-5,Elementary,540-245-5100,Eric,Bond
113,Churchville Elementary,Augusta County Public Schools,"3710 Churchville Ave Churchville, VA 24421",540-337-6036,Carrie,Barb,PK-5,Elementary,540-245-5100,Eric,Bond
114,Craigsville Elementary,Augusta County Public Schools,"100 East First St Craigsville, VA 24430",540-997-9184,Ali,Wright,PK-5,Elementary,540-245-5100,Eric,Bond
115,Edward G. Clymore Elementary,Augusta County Public Schools,"184 Fort Defiance Rd Fort Defiance, VA 24437",540-245-5043,Fonda,Morris,PK-5,Elementary,540-245-5100,Eric,Bond
116,Guy K. Stump Elementary,Augusta County Public Schools,"115 Draft Ave Stuarts Draft, VA 24477",540-337-1549,Shawn,Baska,PK-5,Elementary,540-245-5100,Eric,Bond
117,North River Elementary,Augusta County Public Schools,"3395 Scenic Hwy Mount Solon, VA 22843",540-350-2463,Lori,Cox,PK-5,Elementary,540-245-5100,Eric,Bond
118,Riverheads Elementary,Augusta County Public Schools,"239 Don Hanger Circle Staunton, VA 24401",540-337-2535,John,Matherly,PK-5,Elementary,540-245-5100,Eric,Bond
119,Stuarts Draft Elementary,Augusta County Public Schools,"63 School Blvd Stuarts Draft, VA 24477",540-337-2951,Tina,Bowersox,PK-5,Elementary,540-245-5100,Eric,Bond
120,Wilson Elementary,Augusta County Public Schools,"127 Woodrow Wilson Ave Fishersville, VA 22939",540-245-5040,Dawn,Young,PK-5,Elementary,540-245-5100,Eric,Bond
121,Beverley Manor Middle,Augusta County Public Schools,"58 Cedar Green Rd Staunton, VA 24401",540-886-5806,Yvonne,Howdyshell,6-8,Middle,540-245-5100,Eric,Bond
122,S. Gordon Stewart Middle,Augusta County Public Schools,"118 Fort Defiance Rd Fort Defiance, VA 24437",540-245-5046,Michael,Conner,6-8,Middle,540-245-5100,Eric,Bond
123,Stuarts Draft Middle,Augusta County Public Schools,"1088 Augusta Farm Rd Stuarts Draft, VA 24477",540-946-7611,Charles Scott,Musick,6-8,Middle,540-245-5100,Eric,Bond
124,Wilson Middle,Augusta County Public Schools,"232 Hornet Road Fishersville, VA 22939",540-245-5185,Sarah,Davis,6-8,Middle,540-245-5100,Eric,Bond
125,Buffalo Gap High,Augusta County Public Schools,"1800 Buffalo Gap Hwy Swoope, VA 24479",540-337-6021,Ian,Marshall,9-12,High,540-245-5100,Eric,Bond
126,Fort Defiance High,Augusta County Public Schools,"195 Fort Defiance Rd Fort Defiance, VA 24437",540-245-5050,Raymond Alan,Shull,9-12,High,540-245-5100,Eric,Bond
127,Riverheads High,Augusta County Public Schools,"19 Howardsville Rd Staunton, VA 24401",540-337-1921,Matthew,Stevens,9-12,High,540-245-5100,Eric,Bond
128,Stuarts Draft High,Augusta County Public Schools,"1028 Augusta Farm Rd Stuarts Draft, VA 24477",540-946-7600,James Franklin,Nycum,9-12,High,540-245-5100,Eric,Bond
129,Wilson Memorial High,Augusta County Public Schools,"189 Hornet Rd Fishersville, VA 22939",540-886-4286,Crystal,Hanger,9-12,High,540-245-5100,Eric,Bond
130,Millboro Elementary,Bath County Public Schools,"411 Church Street Millboro, VA 24460",540-997-5452,Allison,Hicklin,PK-7,Elementary,540-839-2722,Rick,Bolling
131,Valley Elementary,Bath County Public Schools,"98 Panther Drive Hot Springs, VA 24445",540-839-5395,Jennifer,Taylor,PK-7,Elementary,540-839-2722,Rick,Bolling
132,Bath County High,Bath County Public Schools,"464 Charger Lane Hot Springs, VA 24445",540-839-2431,Jonathan,Taylor,8-12,High,540-839-2722,Rick,Bolling
133,Bedford Elementary,Bedford County Public Schools,"806 Tiger Trail Road Bedford, VA 24523",540-586-0275,Martha,Bradt,2-5,Elementary,540-586-1045,Marc,Bergin
134,Bedford Primary,Bedford County Public Schools,"807 College St Bedford, VA 24523",540-586-8339,Lisa,Dellis,PK-1,Elementary,540-586-1045,Marc,Bergin
135,Big Island Elementary,Bedford County Public Schools,"1114 Schooldays Rd Big Island, VA 24526",434-299-5863,Andy,Bliss,PK-5,Elementary,540-586-1045,Marc,Bergin
136,Boonsboro Elementary,Bedford County Public Schools,"1234 Eagle Circle Lynchburg, VA 24503",434-384-2881,Jonathan,DeMaio,PK-5,Elementary,540-586-1045,Marc,Bergin
137,Forest Elementary,Bedford County Public Schools,"One Scholar Lane Forest, VA 24551",434-525-2681,Lorri,Manley,PK-5,Elementary,540-586-1045,Marc,Bergin
138,Goodview Elementary,Bedford County Public Schools,"1374 Rivermont Academy Rd Goodview, VA 24095",540-892-5674,Kim,Morris,PK-5,Elementary,540-586-1045,Marc,Bergin
139,Huddleston Elementary,Bedford County Public Schools,"1027 Huddleston Drive Huddleston, VA 24104",540-297-5144,Timothy,Overstreet,PK-5,Elementary,540-586-1045,Marc,Bergin
140,Moneta Elementary,Bedford County Public Schools,"12718 Moneta Rd Moneta, VA 24121",540-297-4411,Johnay,Lee,PK-5,Elementary,540-586-1045,Marc,Bergin
141,Montvale Elementary,Bedford County Public Schools,"One Little Patriot Dr Montvale, VA 24122",540-947-2241,Kevin,Spaulding,PK-5,Elementary,540-586-1045,Marc,Bergin
142,New London Academy Elementary,Bedford County Public Schools,"12400 E Lynchburg-Salem Trnpk Forest, VA 24551",434-525-2177,Joel,Abe,PK-5,Elementary,540-586-1045,Marc,Bergin
143,Otter River Elementary,Bedford County Public Schools,"1044 Otter River Dr Goode, VA 24556",540-586-9210,Krista,Moore,PK-5,Elementary,540-586-1045,Marc,Bergin
144,Stewartsville Elementary,Bedford County Public Schools,"1138 Wildcat Rd Goodview, VA 24095",540-890-2174,Denise,Gerstler,PK-5,Elementary,540-586-1045,Marc,Bergin
145,Thomas Jefferson Elementary,Bedford County Public Schools,"1255 Patriot Place Forest, VA 24551",434-534-6159,Heather,Boyles,PK-5,Elementary,540-586-1045,Marc,Bergin
146,Forest Middle,Bedford County Public Schools,"100 Ashwood Dr Forest, VA 24551",434-525-6630,Donnie,Norman,6-8,Middle,540-586-1045,Marc,Bergin
147,Liberty Middle,Bedford County Public Schools,"1237 Lacey Putney Way Bedford, VA 24523",540-586-7735,Scott,Graham,6-8,Middle,540-586-1045,Marc,Bergin
148,Staunton River Middle,Bedford County Public Schools,"1293 Golden Eagle Drive Moneta, VA 24121",540-297-4152,Jessica,Geyer,6-8,Middle,540-586-1045,Marc,Bergin
149,Jefferson Forest High,Bedford County Public Schools,"1 Cavalier Circle Forest, VA 24551",434-525-2674,Brian,Wilson,9-12,High,540-586-1045,Marc,Bergin
150,Liberty High,Bedford County Public Schools,"100 Liberty Minutemen Dr Bedford, VA 24523",540-586-2541,Justin,Tucker,9-12,High,540-586-1045,Marc,Bergin
151,Staunton River High,Bedford County Public Schools,"1095 Golden Eagle Dr Moneta, VA 24121",540-297-7151,Darcy,Parker,9-12,High,540-586-1045,Marc,Bergin
152,Bland County Elementary,Bland County Public Schools,"31 Rocket Drive Bland, VA 24315",276-688-3621,Darcy,Parker,PK-6,Elementary,276-688-3361,Laura,Radford
153,Bland County High,Bland County Public Schools,"176 Eagles Road Rocky Gap, VA 24366",276-928-1100,Tyler,Eastep,7-12,Combined,276-688-3361,Laura,Radford
154,Breckinridge Elementary,Botetourt County Public Schools,"331 Springwood Rd Fincastle, VA 24090",540-473-8386,Wyatt,Turner,PK-5,Elementary,540-473-8263,Jonathan,Russ
155,Buchanan Elementary,Botetourt County Public Schools,"255 Schoolhouse Rd Buchanan, VA 24066",540-254-2084,Debbie,Garrett,PK-5,Elementary,540-473-8263,Jonathan,Russ
156,Cloverdale Elementary,Botetourt County Public Schools,"833 Cougar Drive Cloverdale, VA 24077",540-992-1086,Jessica,Martin,KG-5,Elementary,540-473-8263,Jonathan,Russ
